Title,Authors,Year of Publication,DOI
"Security Threats, Countermeasures, and Challenges of Digital Supply Chains","Hammi, Zeadally",2023,https://doi.org/10.1145/3588999
HRI '24: Proceedings of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,"Grollman, Broadbent",2024,
AMULET: a Mutation Language Enabling Automatic Enrichment of SysML Models,"Sultan, Frénot",2023,https://doi.org/10.1145/3624583
SEAMS '24: Proceedings of the 19th International Symposium on Software Engineering for Adaptive and Self-Managing Systems,"Baresi, Ma, Pasquale",2024,
Distributed Approaches to Supply Chain Simulation: A Review,"Mustafee, Katsaliaki",2021,https://doi.org/10.1145/3466170
IIoT-NETs '23: Proceedings of the 1st Workshop on Enhanced Network Techniques and Technologies for the Industrial IoT to Cloud Continuum,No authors,2023,
Cyber Efficiency and Cyber Resilience,"Linkov, Ligo",2023,https://doi.org/10.1145/3549073
CPSS '23: Proceedings of the 9th ACM Cyber-Physical System Security Workshop,"Roman, Ahmed",2023,
"A Systematic Literature Review of Blockchain Technology: Applications Fields, Platforms, and Consensus Protocols","Estrada, Naranjo",2024,https://doi.org/10.1145/3638584.3638632
ISEC '24: Proceedings of the 17th Innovations in Software Engineering Conference,"Chakrabarti, Rastogi",2024,
SenSys '22: Proceedings of the 20th ACM Conference on Embedded Networked Sensor Systems,"Gummeson, Lee",2023,
Detecting a Complex Attack Scenario in an Airport: The PRAETORIAN Framework,"Schauer, Hadjina",2023,https://doi.org/10.1145/3600160.3605095
icWCSN '23: Proceedings of the 2023 10th International Conference on Wireless Communication and Sensor Networks,No authors,2023,
WSC '23: Proceedings of the Winter Simulation Conference,No authors,2024,
ICAAI '23: Proceedings of the 2023 7th International Conference on Advances in Artificial Intelligence,No authors,2024,
Improving Visual Search Tasks by Bending the Virtual City Twins: A Preliminary Study in Virtual Reality,"Zhang, Xi, Adcock",2022,https://doi.org/10.1145/3520495.3520528
Web3D '23: Proceedings of the 28th International ACM Conference on 3D Web Technology,"Moreno, Jaspe-Villanueva",2023,
"ARIC 2021 Workshop Report: The 4th ACM SIGSPATIAL International Workshop on Advances in Resilient and Intelligent Cities: Virtual, Online, USA - November 2, 2021","Kar, Mohebbi",2022,https://doi.org/10.1145/3578484.3578489
Towards systematic honeytoken fingerprinting,"Srinivasa, Pedersen",2021,https://doi.org/10.1145/3433174.3433599
BSCI '23: Proceedings of the 5th ACM International Symposium on Blockchain and Secure Critical Infrastructure,"Gai, Choo",2023,
Open challenges for Machine Learning based Early Decision-Making research,"Bondu, Achenchabe",2022,https://doi.org/10.1145/3575637.3575643
"ARES '23: Proceedings of the 18th International Conference on Availability, Reliability and Security",No authors,2023,
IC3-2023: Proceedings of the 2023 Fifteenth International Conference on Contemporary Computing,No authors,2023,
Artificial Intelligence for Web 3.0: A Comprehensive Survey,"Shen, Tan",2024,https://doi.org/10.1145/3657284
